Timestamp,Latitude,Longitude,Distance,Speed,CumulativeDistance,UNIXTime
25/07/2013 08:43:50,13.0037603378,80.2200393677,84.2752783596,8.427527836,40634.701043206,1374722030
25/07/2013 08:44:00,13.0030603409,80.2198410034,80.7486518035,8.0748651804,40715.4496950095,1374722040
25/07/2013 08:44:10,13.002289772,80.219329834,102.0235597357,10.2023559736,40817.4732547453,1374722050
25/07/2013 08:44:20,13.0017204285,80.2186965942,93.3538904419,9.3353890442,40910.8271451872,1374722060
25/07/2013 08:44:30,13.0009403229,80.2181625366,104.2713321667,10.4271332167,41015.098477354,1374722070
25/07/2013 08:44:41,13.0001296997,80.217628479,107.1109576613,9.7373597874,41122.2094350153,1374722081
25/07/2013 08:44:51,12.9992799759,80.2171325684,108.6934537531,10.8693453753,41230.9028887684,1374722091
25/07/2013 08:45:01,12.9985704422,80.2167663574,88.3116697338,8.8311669734,41319.2145585022,1374722101
25/07/2013 08:45:11,12.9984102249,80.2167282104,18.2885404146,1.8288540415,41337.5030989167,1374722111
25/07/2013 08:45:21,12.9984102249,80.2167282104,0,0,41337.5030989167,1374722121
25/07/2013 08:45:31,12.9984102249,80.2167282104,0,0,41337.5030989167,1374722131
25/07/2013 08:45:41,12.9982299805,80.2166824341,20.646844992,2.0646844992,41358.1499439088,1374722141
25/07/2013 08:45:51,12.9980201721,80.2166290283,24.0366350771,2.4036635077,41382.1865789858,1374722151
25/07/2013 08:46:01,12.998000145,80.2166213989,2.3733824492,0.2373382449,41384.559961435,1374722161
25/07/2013 08:46:11,12.998000145,80.2166213989,0,0,41384.559961435,1374722171
25/07/2013 08:46:22,12.998000145,80.2166213989,0,0,41384.559961435,1374722182
25/07/2013 08:46:42,12.997759819,80.2165908813,26.9268371412,1.3463418571,41411.4867985762,1374722202
25/07/2013 08:46:52,12.9975204468,80.2165603638,26.8215319482,2.6821531948,41438.3083305244,1374722212
25/07/2013 08:47:02,12.9975099564,80.2165603638,1.162715193,0.1162715193,41439.4710457174,1374722222
25/07/2013 08:47:12,12.9972896576,80.2165527344,24.5102274791,2.4510227479,41463.9812731965,1374722232
25/07/2013 08:47:22,12.9967803955,80.2165603638,56.6334210486,5.6633421049,41520.6146942451,1374722242
25/07/2013 08:47:32,12.9962100983,80.2166976929,65.136407903,6.5136407903,41585.7511021482,1374722252
25/07/2013 08:48:03,12.9947395325,80.2173614502,178.6352122367,5.7624262012,41764.3863143849,1374722283
25/07/2013 08:48:13,12.9942798615,80.2176818848,61.7892423713,6.1789242371,41826.1755567561,1374722293
25/07/2013 08:48:23,12.9936800003,80.2181167603,81.6649965501,8.166499655,41907.8405533063,1374722303
25/07/2013 08:48:33,12.9932403564,80.2184295654,59.4853547128,5.9485354713,41967.325908019,1374722313
25/07/2013 08:48:43,12.9927396774,80.2188034058,68.8485809056,6.8848580906,42036.1744889247,1374722323
25/07/2013 08:48:53,12.9922304153,80.2191772461,69.6225986987,6.9622598699,42105.7970876234,1374722333
25/07/2013 08:49:03,12.9917802811,80.2194900513,60.4477726018,6.0447772602,42166.2448602252,1374722343
25/07/2013 08:49:13,12.9912500381,80.2198410034,70.1586625239,7.0158662524,42236.4035227491,1374722353
25/07/2013 08:49:23,12.9910497665,80.2199935913,27.7352461587,2.7735246159,42264.1387689078,1374722363
25/07/2013 08:49:44,12.9908800125,80.2201538086,25.6443067548,1.2211574645,42289.7830756626,1374722384
25/07/2013 08:49:54,12.9907102585,80.2202606201,22.1408980357,2.2140898036,42311.9239736983,1374722394
25/07/2013 08:50:04,12.9903802872,80.2205123901,45.7207843056,4.5720784306,42357.6447580039,1374722404
25/07/2013 08:50:14,12.9898996353,80.2209701538,72.9142025649,7.2914202565,42430.5589605688,1374722414
25/07/2013 08:50:24,12.9893903732,80.2216110229,89.6006665014,8.9600666501,42520.1596270701,1374722424
25/07/2013 08:50:34,12.9888801575,80.2222213745,87.1323488111,8.7132348811,42607.2919758812,1374722434
25/07/2013 08:50:44,12.9883203506,80.2227325439,83.3204768489,8.3320476849,42690.6124527301,1374722444
25/07/2013 08:50:54,12.9879398346,80.2230072021,51.7288491705,5.172884917,42742.3413019006,1374722454
25/07/2013 08:51:04,12.9877796173,80.2230682373,19.0031917406,1.9003191741,42761.3444936412,1374722464
25/07/2013 08:51:15,12.9876298904,80.2230987549,16.9740489822,1.543095362,42778.3185426235,1374722475
25/07/2013 08:51:25,12.9874401093,80.2230911255,21.1189966465,2.1118996646,42799.43753927,1374722485
25/07/2013 08:51:45,12.9872303009,80.2230834961,23.3442403714,1.1672120186,42822.7817796413,1374722505
25/07/2013 08:52:05,12.9862298965,80.2229919434,111.6813615924,5.5840680796,42934.4631412337,1374722525
25/07/2013 08:52:15,12.985619545,80.2232131958,71.9776114438,7.1977611444,43006.4407526776,1374722535
25/07/2013 08:52:25,12.985159874,80.2232208252,51.1197269528,5.1119726953,43057.5604796304,1374722545
25/07/2013 08:53:16,12.9831600189,80.2220687866,255.0127687093,25.5012768709,43312.5732483397,1374722596
25/07/2013 08:53:26,12.9828100204,80.2218933105,43.3142231947,4.3314223195,43355.8874715343,1374722606
25/07/2013 08:53:36,12.9822998047,80.2217636108,58.448078682,5.8448078682,43414.3355502163,1374722616
25/07/2013 08:53:46,12.9817199707,80.2213592529,77.9524593995,7.7952459399,43492.2880096158,1374722626
25/07/2013 08:53:54,12.9811201096,80.2210617065,74.0845163271,9.2605645409,43566.3725259429,1374722634
25/07/2013 08:54:06,12.9801397324,80.2211303711,109.2665275725,9.1055439644,43675.6390535154,1374722646
25/07/2013 08:54:16,12.9795303345,80.2211685181,67.8878326366,6.7887832637,43743.5268861521,1374722656
25/07/2013 08:54:26,12.9792299271,80.2211914063,33.4957509148,3.3495750915,43777.0226370669,1374722666
25/07/2013 08:54:36,12.978969574,80.2211837769,28.9618016707,2.8961801671,43805.9844387376,1374722676
25/07/2013 08:54:46,12.9786300659,80.2211914063,37.7606266475,3.7760626648,43843.7450653851,1374722686
